Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-12-01,19:55:00,265.72,265.79,265.7,265.76,55763,0
2017-12-01,20:00:00,265.75,265.893,265.74,265.7708,13313,0
2017-12-01,20:05:00,265.78,265.9569,265.7,265.93,12904,0
2017-12-01,20:10:00,265.8849,265.8849,265.7,265.8292,24253,0
2017-12-01,20:15:00,265.8354,266.01,265.82,265.8868,30538,0
2017-12-01,20:20:00,265.84,265.93,265.77,265.87,11889,0
2017-12-01,20:25:00,265.9,265.95,265.8,265.83,10618,0
2017-12-01,20:30:00,265.82,266,265.81,265.94,55469,0
2017-12-01,20:35:00,265.92,266.02,265.87,265.87,75181,0
2017-12-01,20:40:00,265.88,265.99,265.83,265.8701,89306,0
2017-12-01,20:45:00,265.87,265.89,265.63,265.66,78295,0
2017-12-01,20:50:00,265.6332,265.69,265.51,265.61,19802,0
2017-12-01,20:55:00,265.58,265.63,265.49,265.62,85880,0
2017-12-01,21:00:00,265.63,265.72,265.56,265.6788,38750,0
2017-12-01,21:05:00,265.66,265.76,265.391,265.71,21219,0
2017-12-01,21:10:00,265.7,265.86,265.65,265.84,88598,0
2017-12-01,21:15:00,265.85,265.89,265.72,265.74,42678,0
2017-12-01,21:20:00,265.73,265.91,265.73,265.82,36790,0
2017-12-01,21:25:00,265.8,265.92,265.8,265.85,28510,0
2017-12-01,21:30:00,265.8454,265.94,265.84,265.87,37527,0
2017-12-01,21:35:00,265.88,266.03,265.8705,265.95,43347,0
2017-12-01,21:40:00,265.96,266.07,265.95,266.05,121765,0
2017-12-01,21:45:00,266.05,266.35,266.04,266.29,74660,0
2017-12-01,21:50:00,266.28,266.3,266,266.1,140099,0
2017-12-01,21:55:00,266.11,266.2616,266.11,266.17,79219,0
2017-12-01,22:00:00,266.18,266.34,266.15,266.26,415262,0
2017-12-04,15:35:00,268.13,268.25,268.02,268.12,275485,0
2017-12-04,15:40:00,268.13,268.4,268.04,268.3902,152317,0
2017-12-04,15:45:00,268.4,268.65,268.37,268.57,130373,0
2017-12-04,15:50:00,268.57,268.58,268.22,268.36,138090,0
2017-12-04,15:55:00,268.36,268.41,268.21,268.32,159709,0
2017-12-04,16:00:00,268.32,268.39,268.19,268.25,153666,0
2017-12-04,16:05:00,268.25,268.35,268.2,268.28,157290,0
2017-12-04,16:10:00,268.29,268.29,268.01,268.19,133241,0
2017-12-04,16:15:00,268.19,268.25,267.95,268.1,128998,0
2017-12-04,16:20:00,268.08,268.15,267.89,268.04,176114,0
2017-12-04,16:25:00,268.04,268.26,267.93,268.25,105452,0
2017-12-04,16:30:00,268.25,268.33,268.09,268.24,100938,0
2017-12-04,16:35:00,268.24,268.29,268.075,268.0974,102316,0
2017-12-04,16:40:00,268.1,268.28,268.07,268.24,82028,0
2017-12-04,16:45:00,268.26,268.3,267.87,267.87,111305,0
2017-12-04,16:50:00,267.86,267.92,267.61,267.71,146012,0
2017-12-04,16:55:00,267.73,267.84,267.31,267.38,168165,0
2017-12-04,17:00:00,267.41,267.58,267.22,267.5,103434,0
2017-12-04,17:05:00,267.5,267.6,267.36,267.46,111067,0
2017-12-04,17:10:00,267.45,267.52,267.33,267.39,92109,0
2017-12-04,17:15:00,267.39,267.54,267.22,267.32,109154,0
2017-12-04,17:20:00,267.32,267.61,267.32,267.61,103962,0
2017-12-04,17:25:00,267.61,267.8,267.61,267.72,111425,0
2017-12-04,17:30:00,267.73,267.77,267.55,267.64,104029,0
2017-12-04,17:35:00,267.6612,267.76,267.5,267.57,91262,0
2017-12-04,17:40:00,267.5768,267.85,267.53,267.8069,39381,0
2017-12-04,17:45:00,267.81,267.81,267.65,267.65,7423,0
2017-12-04,17:50:00,267.62,267.65,267.4574,267.62,28263,0
2017-12-04,17:55:00,267.61,267.71,267.52,267.52,29519,0
2017-12-04,18:00:00,267.48,267.67,267.48,267.64,20093,0
2017-12-04,18:05:00,267.7,267.7702,267.675,267.68,19959,0
2017-12-04,18:10:00,267.67,267.83,267.67,267.7113,24702,0
2017-12-04,18:15:00,267.715,267.88,267.7,267.85,15258,0
2017-12-04,18:20:00,267.8447,267.8605,267.77,267.77,16809,0
2017-12-04,18:25:00,267.764,267.8002,267.54,267.59,19037,0
2017-12-04,18:30:00,267.57,267.6224,267.41,267.4932,14321,0
2017-12-04,18:35:00,267.5431,267.5431,267.31,267.4699,10287,0
2017-12-04,18:40:00,267.4543,267.51,267.32,267.38,11941,0
2017-12-04,18:45:00,267.43,267.52,267.41,267.51,15081,0
2017-12-04,18:50:00,267.54,267.65,267.47,267.62,47172,0
2017-12-04,18:55:00,267.65,267.6905,267.61,267.6235,14448,0
2017-12-04,19:00:00,267.6238,267.68,267.57,267.66,12985,0
2017-12-04,19:05:00,267.66,267.779,267.64,267.76,13209,0
2017-12-04,19:10:00,267.78,267.83,267.64,267.7015,29247,0
2017-12-04,19:15:00,267.68,267.8299,267.68,267.8156,5171,0
2017-12-04,19:20:00,267.79,267.8332,267.61,267.659,9353,0
2017-12-04,19:25:00,267.7,267.77,267.7,267.769,8116,0
2017-12-04,19:30:00,267.78,267.79,267.66,267.68,10686,0
2017-12-04,19:35:00,267.66,267.77,267.65,267.76,12962,0
2017-12-04,19:40:00,267.7469,267.8,267.73,267.779,8141,0
2017-12-04,19:45:00,267.77,267.84,267.73,267.82,7068,0
2017-12-04,19:50:00,267.83,267.869,267.72,267.72,6493,0
2017-12-04,19:55:00,267.71,267.74,267.66,267.74,18794,0
2017-12-04,20:00:00,267.77,267.8,267.7257,267.79,14526,0
2017-12-04,20:05:00,267.79,267.79,267.6324,267.65,7745,0
2017-12-04,20:10:00,267.6104,267.6104,267.39,267.39,31003,0
2017-12-04,20:15:00,267.3799,267.44,267.29,267.29,28617,0
2017-12-04,20:20:00,267.29,267.38,267.11,267.11,138842,0
2017-12-04,20:25:00,267.15,267.26,267.05,267.1096,18280,0
2017-12-04,20:30:00,267.11,267.14,266.98,267.0852,26914,0
2017-12-04,20:35:00,267.03,267.06,266.74,266.74,50205,0
2017-12-04,20:40:00,266.83,266.99,266.83,266.9634,68864,0
2017-12-04,20:45:00,267.01,267.03,266.78,266.8801,25942,0
2017-12-04,20:50:00,266.91,266.9399,266.72,266.73,46010,0
2017-12-04,20:55:00,266.7186,266.9666,266.68,266.935,19419,0
2017-12-04,21:00:00,266.98,266.98,266.83,266.85,16443,0
2017-12-04,21:05:00,266.87,266.88,266.6,266.8,35983,0
2017-12-04,21:10:00,266.77,266.84,266.66,266.84,42342,0
2017-12-04,21:15:00,266.8619,266.8744,266.68,266.68,6619,0
2017-12-04,21:20:00,266.7044,266.755,266.613,266.613,21716,0
2017-12-04,21:25:00,266.68,266.83,266.673,266.83,10315,0
2017-12-04,21:30:00,266.817,266.8231,266.6232,266.6599,11156,0
2017-12-04,21:35:00,266.63,266.76,266.47,266.53,38075,0
2017-12-04,21:40:00,266.54,266.56,266.2,266.22,52563,0
2017-12-04,21:45:00,266.21,266.35,266.121,266.26,62238,0
2017-12-04,21:50:00,266.26,266.26,265.9701,266.04,77678,0
2017-12-04,21:55:00,266.05,266.2,266.035,266.11,78337,0
2017-12-04,22:00:00,266.1,266.23,265.95,265.95,174032,0
2017-12-05,15:35:00,266.23,266.26,265.93,266.22,109709,0
2017-12-05,15:40:00,266.25,266.28,266.1,266.1,28839,0
2017-12-05,15:45:00,266.13,266.25,266.0336,266.21,29053,0
2017-12-05,15:50:00,266.18,266.21,265.97,266.1,29159,0
2017-12-05,15:55:00,266.11,266.14,265.97,265.99,35690,0
2017-12-05,16:00:00,266,266.19,265.92,266,35885,0
2017-12-05,16:05:00,266,266.39,265.98,266.37,48709,0
2017-12-05,16:10:00,266.4,266.41,266.17,266.2,15108,0
2017-12-05,16:15:00,266.25,266.28,266.1271,266.1536,21753,0
2017-12-05,16:20:00,266.17,266.3599,266.11,266.3599,28183,0
2017-12-05,16:25:00,266.38,266.43,266.3397,266.3429,23578,0
2017-12-05,16:30:00,266.33,266.41,266.2331,266.3,20117,0
2017-12-05,16:35:00,266.27,266.35,266.2,266.29,13066,0
2017-12-05,16:40:00,266.35,266.4,266.09,266.13,28708,0
2017-12-05,16:45:00,266.2,266.37,266.16,266.37,10348,0
2017-12-05,16:50:00,266.38,266.46,266.285,266.42,20607,0
2017-12-05,16:55:00,266.43,266.4792,266.28,266.3999,50685,0
